veda,hier,verse,meaning,elu,pu
Rigveda,1.2.2,Vaaya ukthebhirjarante tvaamacchaa jaritaarah  Sutasomaa aharvidah,"Vaaya : God, the Omnipresent like air ukthebhih : through various sources jarante : are worshipped and praised tvaam : You are acchaa : desired jaritaarah : by those worshipping and praising You. sutasomaa : You are the producer and provider of soma (all worldly objects, nobility and knowledge) aharvidah : we have known this now   None None None None None"," Why is God worshipped as air? God and the air both are worshipped and praised through various sources. Both are desired by the people who praise and worship because :- (a) God is the producer and provider of all worldly objects, nobilities and knowledge, (b) air makes us live to perform all activities When a man of wisdom comes to know the importance of air as the great gift of God, he starts praising and worshipping both at once. Thus, he is able to purify his body to attain ultimate peace in life.  "," No Diseases, No Crimes Air is the beautiful gift of God. By preserving it, worship and praise God, the giver of this life force. With this basic gift only we are able to lead life and to use other gifts of God like worldly objects, nobilities and knowledge. On the other hand, if people don't protect this basic gift society is bound to face diseases and crimes all around.    "
Rigveda,1.2.3,Vaayo tava praprinchati dhenaa jigaati daashushe  Uruchii somapiitaye,"vaayo : God, air tava : Your praprinchati : gives knowledge of all sciences (Rigveda - Natural sciences, Yajurveda - actions, Samveda - metaphysics, Atharvaveda - war and medicine), connects to your Divinity dhenaa : instructions in the form of Vedas jigaati : are available to  daashushe : those who give up/surrender to God uruchii : It takes us up on higher level somapiitaye : It provides us all worldly objects, nobilities & knowledge etc.   None None None None None"," What are the important features of Vedic instructions? Omnipresent God! Your instructions in the form of Vedas are made available to those who surrender unto You. There are two features of Vedic instructions :- (a) They give us all scientific and true knowledge along with connectivity to the Giver, the God, (b) They take us on higher level - spiritually, mentally and physically through all worldly objects, nobilities and knowledge of various sciences. Vayu, even if simply taken as air, takes us to higher levels of health, knowledge and realisation. To attain higher levels we must surrender to the Grantor of everything in our life.   "," Learn and Work Tirelessly To achieve higher levels in our family and social life also, we must learn to respect and serve our superiors by showing our learning skills and eagerness to work tirelessly. It's like holding your breath while serving. Always focus on your job and be patient. Don't rush for the results today itself.   "
Rigveda,1.2.4,Indravaayu ime sutaa upa prayobhiraagatam  Indavo vaamushanti hi,"Indra : Sun, one who has controlled senses vaayu : air, one who is energetic and active ime sutaa : produce all objects for use upa : near me prayobhih : while protecting all worldly objects and nobilities aagatam : please come indavo : all those protected objects and nobilities vaam : for both of you (indra and vaayu) ushanti : desire hi : certainly   None None None"," What is the importance of sun (indra) and air (vaayu) in our life? Sun is the great magnetic power that holds the clouds near earth. When it warms up clouds, rain comes to earth and facilitates agricultural production and life on earth. Sun and air protects all things and lives. That is why all protected lives also desire sun and air certainly. Indra can be taken to mean a person who has established control over his senses. Vayu  can be taken to mean energetic and active.  Only such people are useful in the society like real Divine representatives. Other common people also wish to come near such great men with indra and vayu features. Even the results of their energies and activities also desire to live with such energetic and active great persons. Such great people are loved by all others and even by the results of their performance.  "," Only Energetic and Active enjoy respect from all sides Be energetic like sun (indra) and active like air (vaayu) to be loved and liked by all people enjoying fruits of your performance. Even the results would desire you. Everywhere in the society, home or work place, we can see energetic and active being respected by all. Even results, which are under God's control, love such people. It means God also loves such people.  "
Rigveda,1.2.5,Vaayuvindrashcha chetathah sutaanaam vaajiniivasuu  Taavaa yaatamupa dravat,"Vaayu indrashcha : Powers of God, air and sun, active and energetic Chetathah : hold and enlighten sutaanaam : all that is produced vaajiniivasuu : everyday morning Divine time (brahamvela) taav : both of these aayaatam upa : come near dravat : speedily   None None None None None None"," How can God be realised near us? Air and sun (consequently rain water) produce so many things in nature. By producing all those things for us, these Divine powers also come near us speedily everyday morning at Divine time. Ultimately, God by providing all objects, nobilities and knowledge remains near us every moment. Everything we touch, see or use must remind us that it is God's gift and hence God is very near us. If we take vaayu and indra to mean active and energetic person, God's presence can be realised through such person also. Such persons by serving others in a great manner everyday look like a Divine personality and attract God to be near them every moment.  "," God is near us every time Active and Energetic people feel more close to God God gives us all worldly objects and nobilities. Through these gifts, He is near us every time. Similarly, active and energetic people enjoy love and respect not only from the beneficiaries but from God also.  "
Rigveda,1.2.6,Vaayu indrashcha sunvata aayaatam upa nishkritam  Makshvitthaa dhiyaa naraa,"Vaayu indrashcha : Powers of God,  air and sun, active and energetic sunvata : produce every useful thing and protect aayaatam upa : come near us nishcritam : to purify us by granting results of our actions makshvitthaa : very soon in this way (by giving results of our acts) dhiyaa : knowledge naraa : receiver   None None None None None None"," How does God purify us? God through His Divine powers of air and sun produce all objects, knowledge etc. and remains near us to purify us by granting results of our acts, very soon and thus make us receiver of great knowledge. An active and energetic person also does good to all. He is thus, purified and gets rewards of his acts and receive Divine knowledge and favour of the Supreme Energy. God is like a teacher, who first teaches and then examines the performance of disciples to reward them suitably. In this way, the disciple is purified by that Supreme Teacher every time.   "," Active and Energetic are Purified People God controls the results of our acts just to purify us and to improve our intellect. Active and energetic people are also purified persons, loved and rewarded by Supreme Authorities.  "
Rigveda,1.2.7,Mitram huve puutadaksham varunam cha rishaadasam  Dhiyam dhritachim saadhantaam,"Mitram : Sun (energy) huve : I call/receive/accept puutadaksham : for pure strength (free from impurities and energetic) varunam cha : and air (activity) rishaadasam : to destroy evil, violent or inimical tendencies dhiyam : knowledgeable  dhritachim : evil less saadhantaam : to be achieved   None None None None None"," Can we be like sun (mitra) and air (varuna)? I call the energy of sun like a friendly power to attain pure strength, great energy free from impurities. I call air and activity to destroy all evil tendencies. Air purifies and thus destroys evils. Sun and air together produce rain to destroy impurities from earth and deliver strength. Worshipping means aspiring for qualities and powers of sun (mitra) and air (varuna), energy and activity in purest form. With such a worship, one can acquire evil less knowledge to benefit others.  "," Be a Mitra and Varuna In every society, we must have energetic and active people like mitra and varuna with pure strength and evil less activity. We ourself should try to be mitra and varuna to inspire others also to be like that.  "
Rigveda,1.2.8,Ritena mitraavarunaa ritaavridho ritsparshaa  Kratum brihantam aashaathe,"Ritena : Created by and established in the discipline of Divine Supreme Energy i.e. God mitraa varunaa : sun and air ritaavridho : are the augmenters of Divine Truth, rain and seasons ritsparshaa : are the cause of establishing contact with Divine Truth, rain kratum : yajna of universe brihantam : vast in size is aashaathe : pervaded by (both mitra and varuna   None None None None None None"," Are the sun and air also under the discipline of God? Sun and air, despite being very powerful elements in nature are created by and established in the discipline of the Supreme Power God. Spiritually, they are the augmenters of Divine truth and help in establishing a contact with that Supreme Power i.e. God. Materially, they promote rain and thus establish a contact with every thing in universe. The whole creation is like a vast yajna performed by these two powerful elements, sun and air, energy and activity. That is why, energetic and active pure persons doing all welfare for others also remain disciplined under the Supreme Authority of God. Such people are augmenters of all good for everyone. Their life is like a yajna from which everyone is benefitted.  "," Everyone to remain under the Discipline of God Powerful forces like sun and air are in the discipline of God, the Supreme force. Similarly, every energetic and active person doing all good to others should also remain subject to the discipline of the Supreme Authority whether at home or elsewhere. No one should feel supreme in himself.   "
Rigveda,1.2.9,Kavii no mitraavarunaa tuvijaata urukashayaa  Daksham dadhaate apasam,"Kavii : For realisation nah : of us mitraa varunaa : Powers of God, sun and air, energy and activity tuvijaata : doing welfare for all urukashayaa : at all places daksham : power dadhaate : holding apasam : all activities   None None None None None"," To whom has God delegated His Powers? Sun and air do welfare for everyone at all places. They are for taking us to realisation state. They are holding power for all our activities, good or bad. God has manifested His greatness through sun and air. These elements of nature actually hold all powers for our welfare only. They hold powers of God and still tolerate all good and bad activities taking place on earth. Similarly, in society some energetic and active people do welfare for all. Such people are empowered by God. Actually, it's Divinity appearing through such people. Such energetic and active people are a cover up of lesser energetic, lethargic or evil minded people in as much as they do good for all universally. On the other hand, such pure and divine people become inspiration to others sooner or later.  "," Great Tolerance Power of Energetic and Active God manifests through sun and air to perform all welfare. Sun and air despite holding all powers, tolerate our deeds, good or bad. Similarly, energetic and active persons are the Divine Powers of any establishment. They do hard work, enjoy power and still provide a cover up to others. Their tolerance is great. If they also stop their hard work, the establishments can fall down.          Rigveda Mandal-1, Hymn-3  "
Rigveda,1.3.1,Ashvinaa yajvariirisho dravatpaanni shubhaspati  Purubhujaa chanasyatam," Ashvinaa : Pair of two, (As per Maharishi Dayanand ji it fire (agni) and water (jala). As per Vedic grammer it can be (i) earth and sky, (ii) sun and moon, (iii) day and night, (iv) expert physicians or scientists. As per Harisharan Sidantalankar ji it is inhaled and exhaled breath (pran and apan) yajvarii : science of arts and crafts, person performing welfare acts with sacrifices (yajik) isha : desired materials dravatpaanni : instrumental in quickening the movement shubhaspati : giver of great virtues, benefits, great deeds purubhujaa : multi dimensional, multipurpose, taking care of many people chanasyatam : consuming with joy like food   None None None None None"," How is Ashvinaa, the pair of two, useful in life? Maharishi Dayanand ji has explained this verse to mean - Experts should make proper use of fire and water element in the science of art and craft or in food to produce desired things, so that people, after using their products, are able to quickly move from one place to another to perform various activities for general benefits. This way, large number of people would be benefitted. They will use all such things with joy as they feel while consuming food. According to Shri Harisharan ji - ashvinaa means the pair of pran and apan, the two names of inhaled and exhaled air. Air is vital element in our life. Proper use of air, inhaled and exhaled, make us moveable and active, make our efforts beneficial for many and help us digest food with joy and for proper utilization.  "," Wherever two forces join to work in a common direction and with common motive, the result would always be great and beneficial for many and also to achieve desired aims. There can be many types of pairs - husband & wife, father/mother & son/daughter, two brothers/sisters/friends, two social workers, employer & employee, partners, two soul-mates, govt. & citizens, body & mind, God & soul etc.  On spiritual path, body and mind should join together as ashvinaa to realise inner spirit and ultimately God Any joining of two forces (ashvinah) can ensure :- (i) 	welfare activities (ii)	achievement of desired aims (iii)	movement (iv)	great benefits for large number of people (v)	this joining shall be joyful like consuming good food. This verse supports a layman statement - one and one make eleven.   					"
Rigveda,1.3.2,Ashvinaa purudansasaa naraa shaviirayaa dhiyaa  Dhishnyaa vanatam girah.," Ashvinaa : Pair of two, (As per Maharishi Dayanand ji it fire (agni) and water (jala). As per Vedic grammer it can be (i) earth and sky, (ii) sun and moon, (iii) day and night, (iv) expert physicians or scientists. As per Harisharan ji it is inhaled and exhaled breath (pran and apan) purudansasaa : performing many types of acts naraa : giver of fruits of action, making us progressive shaviirayaa : helpful in movements dhiyaa : fire and water, intellect dhishnyaa : speed in movement or activity vanatam : to be utilized, beneficial girah :  sciences of art and craft, intellectual efforts   None None None None"," If we take the pair of fire and water to mean ashvinaa, the meaning of this verse is - This pair, as a great science, has power to perform many great acts resulting in good fruits, helpful in movements with speed, to be utilized in many beneficial acts.  "," A pair with all sincerity and sharp intellect can do anything great. As this principle is applied to two non-living elements, so is applicable in mutual relationship of living beings too. Even on spiritual path, one has to unite his physical and mental powers to realise inner power of God.   "
Rigveda,1.3.3,Dasraa yuvakavah sutaa naasatya vrikta barhishah  Aayatam rudravartanii ," Dasraa : Destroyer of miseries, sufferings yuvakavah : unitedly as a mix or separately sutah : proper and full use of elements or powers naasatya : nothing is untruthful in them vrikta barhishah : the great learned people who explain the result of united action aayatam : let them come to us rudravartanii : to destroy enemies   None None None None None"," How great are the results of united action of our powers? God instructs us to make proper and full use of our powers, our abilities and elements found in nature, unitedly or separately, as per situational requirements. There shall be no untruth or lack of ability, competence or power in any element or companion.  Invite great and learned people to explain the result of united action or efforts, to destroy enemies or troubles. Such relations and activities destroy all sufferings and miseries. It means, besides the power of elements or companions, there is a great importance of learned people to guide about the proper use of elements and/or to purify the hearts and minds of companions.  "," Verse1, 2 & 3 form a common chain of one idea. Focus in the verse 3 is on proper knowledge and use of elements, purity of companions. Help of learned great men/experts is warranted in every group of people or in any activity of science.   "
Rigveda,1.3.4,Indra aayaahi chitrabhaano sutaa ime tvaayavah  Anviibhistanaa putaasah ," Indra : Almighty God, sun aayaahi : please come to us chitrabhaano : having astonishing knowledge, light sutaa : all good qualities and knowledge in us, all worldly objects ime : these tvaayavah : are produced by you and are your part and parcel, are desiring for you anviibhistanaa : by the subtlest causes spread all over and always putaasah : are pure and purifying   None None None None"," Shall we remain satisfied with the grants of God or wish for God? The Almighty God! please come to us, always be in our realisation to inspire us at every step. That Supreme Power has produced astonishing knowledge, powers and have given all these to us. Whenever we use these objects, knowledge or powers etc. we must desire for the company of the Great Giver also because all His gifts, produced by the subtlest causes, are all pure and purifying.  We should not remain satisfied with the grants of God but must aspire for His realisation. Only then we can keep our self purified. Vice versa, if we focus on purity, we can easily realise that Supreme Power.  "," Every superior authority, in any small or big establishment, gives you many benefits in the form of worldly gains, knowledge, training, honour etc. and would certainly expect in return a purity in your acts and conduct. If we show these ethics, certainly we can get closer to our superior authority.  "
Rigveda,1.3.5,Indra aayahi dhiyeshito viprajuutah sutaavatah  Upa brahmaani vaaghatah," Indra : Supreme Intelligence God, controller of sense organs aayahi : please come to us dhiya : by intellect and intelligent deeds ishitah : desired and receivable viprajuutah : enlightened people are able to know You. sutavatah : who know the worldly and spiritual sciences, protect virtues in them upa : near brahmaani : great knowledgeable and enlightened people vaaghatah : who perform welfare activities (yajna) for the happiness of all   None None None"," How can we realise nearness to God? Realisation of Supreme Intelligence of God is desired, possible and receivable only through intellect and intelligent deeds. Intellect here means subtle mind. We can activate our subtle mind for God realisation only by controlling multi waves of thoughts and selfish desires. Only enlightened people know Him as they have known all worldly and spiritual aspects of knowledge and protected virtues in them. God remains near such people only who have great knowledge and are enlightened and perform welfare activities (yajna) for all.  "," How can we achieve nearness to our superiors? We can get closer to any higher authority with our great intellect. This nearness is possible only for those possessing these features :- (i)	Who are enlightened and desiring to know more, (ii)	Who have protected virtues in them, (iii)	Who perform welfare deeds.  "
